project_title,project_id,project_contact,description,,time_interval,project_based_club
project1015,1015,lucas.waelchi@gmail.com,Tom's name was at the top of the list.,890,70 weeks,Northeastern University Society of Women Engineers
project1016,1016,timmy40@yahoo.com,The locksmith is fixing it.,3231,3 months,Northeastern University Steel Bridge Team
project1017,1017,jules.miller@yahoo.com,You could release half of us.,4095,6 months,Northeastern University Theta Tau
project1018,1018,effie_romaguera@hotmail.com,He has more brothers than I do.,9389,2 months,Northeastern University Women in Science and Engineering Roundtable
project1019,1019,vince_jacobs79@gmail.com,I am a vegan.,8898,5 months,Northeastern University American Marketing Association
project1020,1020,braulio55@hotmail.com,There is one open baby swing.,9212,69 month,Northeastern University Association for Computing Machinery
project1021,1021,susie.nienow@yahoo.com,I'm cutting down on sweets.,124,3 months,Northeastern University Neuroscience Society
project1022,1022,zita42@hotmail.com,Nothing ever really took off.,1390,6 months,Northeastern University Orchestra
project1023,1023,allie.sawayn70@yahoo.com,She had a black thumb.,3127,2 months,Northeastern University Developer Student Club
project1024,1024,boris85@hotmail.com,We already know the truth.,4601,5 months,Northeastern University Design For America
project1025,1025,brown_daniel@hotmail.com,I eat my asparagus steamed.,634,69 month,Northeastern University Discussions Undergraduate Research Journal
project1026,1026,stephen35@gmail.com,I'm sure Tom's name isn't on the list.,9593,69 year,Harvey Mudd College Engineers Without Borders
project1027,1027,toni.bernhard@gmail.com,These guys are the best.,1283,1.5 years,Harvey Mudd College Girls Who Code
project1028,1028,clay.brown0@yahoo.com,She was riding on a high-speed train.,6375,76 months,Harvey Mudd College Hackers Society
project1029,1029,marina_collier@yahoo.com,I have bought the car.,9254,72 years,Harvey Mudd College Biomedical Engineering Society
project1030,1030,andre_friesen15@yahoo.com,Mary is a fan of theirs.,2449,71 weeks,Harvey Mudd College American Institute of Chemical Engineers
project1031,1031,theo9@gmail.com,He is my neighbour.,7050,3 months,Harvey Mudd College Baja Sae
project1032,1032,tyrese95@hotmail.com,Maybe he was brokering a deal.,510,6 months,Harvey Mudd College Aeronautics Team
project1033,1033,carmelo.morar79@gmail.com,Steve jumped in.,8787,2 months,Harvey Mudd College MedWish
project1034,1034,hilario.raynor@yahoo.com,Toy Story is the best movie I’ve ever seen.,7712,5 months,Harvey Mudd College Rocket Team
project1035,1035,ricky.wilderman@hotmail.com,She was beaming.,8953,70 month,Harvey Mudd College Global Health Design Collaborative
project1036,1036,zion_emard@gmail.com,The siblings could help each other.,3502,3 months,Harvey Mudd College Graduate Civil Engineering Student Association
project1037,1037,stephany.hartmann@gmail.com,You must be happy.,1851,6 months,Harvey Mudd College Medical Technology Group
project1038,1038,lonzo78@hotmail.com,That television is both big and expensive.,3970,2 months,Harvey Mudd College oSTEM
project1039,1039,karina.vandervort@yahoo.com,"Now, you know what I'm capable of.",1714,5 months,Harvey Mudd College Society of Hispanic Professional Engineers
project1040,1040,nikita70@yahoo.com,The kids were smiling from ear to ear.,5757,70 month,Harvey Mudd College Society of Women Engineers
project1041,1041,ilene.prosacco87@hotmail.com,We have a big oak tree in our backyard.,20,70 year,Harvey Mudd College Steel Bridge Team
project1042,1042,alex.pouros14@yahoo.com,I trust you so much.,6968,1.5 years,Harvey Mudd College Theta Tau
project1043,1043,brionna_dietrich36@gmail.com,Property is government.,9983,77 months,Harvey Mudd College Women in Science and Engineering Roundtable
project1044,1044,petra.pollich44@hotmail.com,he has skipped school on many occasions.,2372,73 years,Harvey Mudd College American Marketing Association
project1045,1045,frieda9@yahoo.com,Last time I went on vacation I rode a horse.,3953,72 weeks,Harvey Mudd College Association for Computing Machinery
project1046,1046,nyasia.oconnell8@yahoo.com,We reached London this afternoon.,1211,3 months,Harvey Mudd College Neuroscience Society
project1047,1047,lila42@gmail.com,Every child likes an ice cream.,5020,6 months,Harvey Mudd College Orchestra
project1048,1048,josiah_bradtke69@yahoo.com,She had eleven brothers and sisters.,9135,2 months,Harvey Mudd College Developer Student Club
project1049,1049,clarissa3@yahoo.com,The blacksmith makes old-fashioned swords.,4882,5 months,Harvey Mudd College Design For America
project1050,1050,carlo.hagenes97@hotmail.com,He was singing Welcome Home by Radical Face.,9906,71 month,Harvey Mudd College Discussions Undergraduate Research Journal
project1051,1051,pierce29@hotmail.com,I am on the phone.,5623,3 months,Middlebury College Engineers Without Borders
project1052,1052,shayna_zieme86@gmail.com,I love you more than I've ever loved my dog.,2706,6 months,Middlebury College Girls Who Code
project1053,1053,paxton77@yahoo.com,She went over to see if her name was there.,2524,2 months,Middlebury College Hackers Society
project1054,1054,sebastian34@yahoo.com,"My friends are getting dinner tonight,.",2284,5 months,Middlebury College Biomedical Engineering Society
project1055,1055,marquise.christiansen53@hotmail.com,All the swings are full.,7350,71 month,Middlebury College American Institute of Chemical Engineers
project1056,1056,golda97@hotmail.com,The sunset was breathtaking.,8297,71 year,Middlebury College Baja Sae
project1057,1057,ricky_herman44@hotmail.com,My brother’s dog barks a lot.,4621,1.5 years,Middlebury College Aeronautics Team
project1058,1058,garret_oreilly@gmail.com,My brother takes out the trash.,6423,78 months,Middlebury College MedWish
project1059,1059,maye15@gmail.com,He resolved to give up smoking.,6332,74 years,Middlebury College Rocket Team
project1060,1060,nico_swaniawski@gmail.com,You don’t listen to me.,4445,73 weeks,Middlebury College Global Health Design Collaborative
project1061,1061,rachel.ryan@hotmail.com,He was in a bluegrass band with his father.,7034,3 months,Middlebury College Graduate Civil Engineering Student Association
project1062,1062,elmo.dicki36@hotmail.com,A ship appeared on the horizon.,2538,6 months,Middlebury College Medical Technology Group
project1063,1063,jonas.wolff@yahoo.com,It is time to embrace the adventure.,7324,2 months,Middlebury College oSTEM
project1064,1064,gilda68@yahoo.com,That was last week.,57,5 months,Middlebury College Society of Hispanic Professional Engineers
project1065,1065,bria37@yahoo.com,He showed us how to snap the pencil.,5782,72 month,Middlebury College Society of Women Engineers
project1066,1066,lorine.bailey22@yahoo.com,Monday was not my best day.,2762,3 months,Middlebury College Steel Bridge Team
project1067,1067,webster_russel@gmail.com,Your name is definitely not on the list.,8235,6 months,Middlebury College Theta Tau
project1068,1068,judson.hoeger12@gmail.com,This could become a problem.,1370,2 months,Middlebury College Women in Science and Engineering Roundtable
project1069,1069,alisha_dicki@yahoo.com,Moving to the next step is daunting.,793,5 months,Middlebury College American Marketing Association
project1070,1070,cassandre31@gmail.com,We have bigger problems to worry about.,4818,72 month,Middlebury College Association for Computing Machinery
project1071,1071,axel_mcclure@yahoo.com,Corduroy and double-denim are back in.,559,72 year,Middlebury College Neuroscience Society
project1072,1072,louie5@hotmail.com,Save your appetite for dinner.,5559,1.5 years,Middlebury College Orchestra
project1073,1073,blair.bode80@hotmail.com,It rather suprised me.,9423,79 months,Middlebury College Developer Student Club
project1074,1074,shad_wisozk13@hotmail.com,You are more than just your shopping cart.,2448,75 years,Middlebury College Design For America
project1075,1075,karlie11@yahoo.com,I want to go to France.,2119,74 weeks,Middlebury College Discussions Undergraduate Research Journal
project1076,1076,nelda.mills@gmail.com,The big building was blazing with lights.,3425,3 months,University of Pennsylvania  Engineers Without Borders
project1077,1077,woodrow30@hotmail.com,I'm not sure if there is a meaning to life.,7388,6 months,University of Pennsylvania  Girls Who Code
project1078,1078,loraine26@hotmail.com,It's so expensive I want to die.,7374,2 months,University of Pennsylvania  Hackers Society
project1079,1079,stella58@yahoo.com,The computer was hot and overheated.,7620,5 months,University of Pennsylvania  Biomedical Engineering Society
project1080,1080,cortney_mohr19@gmail.com,I’m absolutely sure.,4639,73 month,University of Pennsylvania  American Institute of Chemical Engineers
project1081,1081,barrett.walsh@gmail.com,I am dirt poor.,6687,3 months,University of Pennsylvania  Baja Sae
project1082,1082,jane_reichert31@hotmail.com,The earth is far larger than the moon.,6468,6 months,University of Pennsylvania  Aeronautics Team
project1083,1083,blanca_willms@hotmail.com,I take ten minutes to get there.,881,2 months,University of Pennsylvania  MedWish
project1084,1084,elmer.gerlach9@hotmail.com,No one can move this box.,7492,5 months,University of Pennsylvania  Rocket Team
project1085,1085,gerda13@yahoo.com,I only eat fish.,503,73 month,University of Pennsylvania  Global Health Design Collaborative
project1086,1086,lawson47@gmail.com,Water damage sucks.,3600,73 year,University of Pennsylvania  Graduate Civil Engineering Student Association
project1087,1087,chasity_schamberger@hotmail.com,The truck has a missile on the back.,7439,1.5 years,University of Pennsylvania  Medical Technology Group
project1088,1088,frederic_kozey@yahoo.com,I’d like to honor an event.,9506,80 months,University of Pennsylvania  oSTEM
project1089,1089,virginie_wisoky@gmail.com,I'm not a big fan of blueberry pancakes.,1255,76 years,University of Pennsylvania  Society of Hispanic Professional Engineers
project1090,1090,osborne_streich62@hotmail.com,I need to clean my room.,4602,75 weeks,University of Pennsylvania  Society of Women Engineers
project1091,1091,delpha_west@yahoo.com,She was hyped up and ready to get to work.,9203,3 months,University of Pennsylvania  Steel Bridge Team
project1092,1092,roy_bruen0@yahoo.com,The store is having a sale.,3203,6 months,University of Pennsylvania  Theta Tau
project1093,1093,richmond74@gmail.com,I hope you're ready for action.,3140,2 months,University of Pennsylvania  Women in Science and Engineering Roundtable
project1094,1094,elena91@yahoo.com,I miss my best friend.,6450,5 months,University of Pennsylvania  American Marketing Association
project1095,1095,chelsie14@gmail.com,I have a bunch of things I need to do.,9103,74 month,University of Pennsylvania  Association for Computing Machinery
project1096,1096,malvina_lockman64@yahoo.com,The laptop became warm.,3913,3 months,University of Pennsylvania  Neuroscience Society
project1097,1097,cody.kessler13@yahoo.com,California is not in the United Kingdom.,33,6 months,University of Pennsylvania  Orchestra
project1098,1098,marietta28@hotmail.com,She doesn’t see Peter every day.,2773,2 months,University of Pennsylvania  Developer Student Club
project1099,1099,ted_bauch@yahoo.com,I'm one of his fiercest critics.,8599,5 months,University of Pennsylvania  Design For America
project1100,1100,parker65@gmail.com,We had a snow storm last weekend.,5274,74 month,University of Pennsylvania  Discussions Undergraduate Research Journal
project1101,1101,tony_ohara@hotmail.com,Your house is beautiful.,5092,74 year,University of Florida at Miami Engineers Without Borders
project1102,1102,paolo62@gmail.com,We can go to Paris.,7481,1.5 years,University of Florida at Miami Girls Who Code
project1103,1103,joaquin.hand89@gmail.com,I’d be very surprised if that happened.,5389,81 months,University of Florida at Miami Hackers Society
project1104,1104,katelynn.aufderhar@hotmail.com,There are new deals every single day.,3493,77 years,University of Florida at Miami Biomedical Engineering Society
project1105,1105,dangelo.bauch@yahoo.com,She was the mother of my children.,4406,76 weeks,University of Florida at Miami American Institute of Chemical Engineers
project1106,1106,tristian71@hotmail.com,This place is big enough for both of us.,1087,3 months,University of Florida at Miami Baja Sae
project1107,1107,germaine_mccullough13@hotmail.com,The snail has a hard shell.,3562,6 months,University of Florida at Miami Aeronautics Team
project1108,1108,justina_cole@hotmail.com,I want to have fun with you.,9384,2 months,University of Florida at Miami MedWish
project1109,1109,kian68@gmail.com,He’s a chemistry whiz.,1335,5 months,University of Florida at Miami Rocket Team
project1110,1110,kiana.zieme@gmail.com,Strawberries are in season.,2123,75 month,University of Florida at Miami Global Health Design Collaborative
project1111,1111,phoebe19@hotmail.com,She is a very smart girl.,4657,3 months,University of Florida at Miami Graduate Civil Engineering Student Association
project1112,1112,mina.mertz48@yahoo.com,He was dressed like a bear.,1703,6 months,University of Florida at Miami Medical Technology Group
project1113,1113,paxton.jakubowski@hotmail.com,It's her field.,4406,2 months,University of Florida at Miami oSTEM
project1114,1114,steve.beatty@yahoo.com,She knows New York like the back of her hand.,3669,5 months,University of Florida at Miami Society of Hispanic Professional Engineers
project1115,1115,charley84@hotmail.com,You have a red stain on your sweater.,6626,75 month,University of Florida at Miami Society of Women Engineers
project1116,1116,carolanne_oconnell@hotmail.com,I could help mom around here.,8229,75 year,University of Florida at Miami Steel Bridge Team
project1117,1117,adolf54@gmail.com,It took quite a while.,7631,1.5 years,University of Florida at Miami Theta Tau
project1118,1118,marty.auer@gmail.com,We have weight training classes.,4017,82 months,University of Florida at Miami Women in Science and Engineering Roundtable
project1119,1119,rosella.haag38@gmail.com,Sadie made a list of things she needs to buy.,85,78 years,University of Florida at Miami American Marketing Association
project1120,1120,ralph.rath@hotmail.com,Pandas are so adorable.,7424,77 weeks,University of Florida at Miami Association for Computing Machinery
project1121,1121,dorthy_damore88@gmail.com,I like salad and green beans.,2925,3 months,University of Florida at Miami Neuroscience Society
project1122,1122,bertha_white@yahoo.com,He is with another woman.,6975,6 months,University of Florida at Miami Orchestra
project1123,1123,monique39@hotmail.com,I want a complete list of your books.,1147,2 months,University of Florida at Miami Developer Student Club
project1124,1124,isobel_wiza62@gmail.com,There was a fire last night.,9067,5 months,University of Florida at Miami Design For America
project1125,1125,freddy_schamberger21@hotmail.com,I’d like to be catcalled.,8224,76 month,University of Florida at Miami Discussions Undergraduate Research Journal
project1126,1126,lelia.harber88@gmail.com,She’s trying to drown her sorrows.,3626,3 months,Yale University Engineers Without Borders
project1127,1127,nyasia.parker5@yahoo.com,We never found a body.,1468,6 months,Yale University Girls Who Code
project1128,1128,jesse_carter@gmail.com,I wish I could talk to you about art.,4291,2 months,Yale University Hackers Society
project1129,1129,morris_satterfield@hotmail.com,Beauty is in the eyes of the beholder.,4571,5 months,Yale University Biomedical Engineering Society
project1130,1130,desmond15@hotmail.com,I'm actually newly single.,5310,76 month,Yale University American Institute of Chemical Engineers
project1131,1131,katherine_jaskolski@gmail.com,They were afraid of the black dog.,4262,76 year,Yale University Baja Sae
project1132,1132,shad_howell@hotmail.com,The computer died in the middle of class.,6433,1.5 years,Yale University Aeronautics Team
project1133,1133,savannah.nitzsche95@hotmail.com,He reminds me of your brother.,4169,83 months,Yale University MedWish
project1134,1134,eunice.schoen26@hotmail.com,He drives to work.,5518,79 years,Yale University Rocket Team
project1135,1135,bernadine.pacocha@yahoo.com,Star Wars made me cry.,3145,78 weeks,Yale University Global Health Design Collaborative
project1136,1136,fletcher65@yahoo.com,There was a parade today.,3921,3 months,Yale University Graduate Civil Engineering Student Association
project1137,1137,candace_predovic@yahoo.com,I don’t know where he is right now.,7767,6 months,Yale University Medical Technology Group
project1138,1138,rodrick67@yahoo.com,She was shaking like a chihuahua.,2806,2 months,Yale University oSTEM
project1139,1139,gregorio_bailey@hotmail.com,You should eat them.,4335,5 months,Yale University Society of Hispanic Professional Engineers
project1140,1140,lionel5@yahoo.com,Tom didn't want to take such a big risk.,8068,77 month,Yale University Society of Women Engineers
project1141,1141,stone42@gmail.com,We often call him by his nickname.,8425,3 months,Yale University Steel Bridge Team
project1142,1142,guiseppe_terry@hotmail.com,Of course it traumatized me.,4492,6 months,Yale University Theta Tau
project1143,1143,arno88@yahoo.com,Tokyo is bigger than Rome.,8709,2 months,Yale University Women in Science and Engineering Roundtable
project1144,1144,holly_reichel@gmail.com,There are eggs in the nest.,318,5 months,Yale University American Marketing Association
project1145,1145,aaliyah.nienow66@gmail.com,This is a real step forward.,3690,77 month,Yale University Association for Computing Machinery
project1146,1146,imelda_lynch96@yahoo.com,Strawberries are in season.,7752,77 year,Yale University Neuroscience Society
project1147,1147,zoie_wisoky0@hotmail.com,I'd like us to repair our differences.,43,1.5 years,Yale University Orchestra
project1148,1148,alek12@hotmail.com,I dressed as a fairy last Halloween.,5237,84 months,Yale University Developer Student Club
project1149,1149,kendra.dickinson@yahoo.com,I’ve got to go now.,3711,80 years,Yale University Design For America
project1150,1150,abigayle16@gmail.com,The big fire reduced the whole town to ashes.,3067,79 weeks,Yale University Discussions Undergraduate Research Journal
project1151,1151,sheridan_ledner45@gmail.com,I'm against big government.,1418,3 months,Pomona College Engineers Without Borders
project1152,1152,jalyn.lakin27@hotmail.com,she disrespected my mother.,9888,6 months,Pomona College Girls Who Code
project1153,1153,doris_rau3@yahoo.com,Tom wants to move into a bigger house.,2432,2 months,Pomona College Hackers Society
project1154,1154,arch_wehner52@gmail.com,Her brother broke his arm playing hockey.,8337,5 months,Pomona College Biomedical Engineering Society
project1155,1155,sallie_ferry@gmail.com,The editor the newspaper hired laughed.,6590,78 month,Pomona College American Institute of Chemical Engineers
project1156,1156,pink.douglas46@yahoo.com,I made a mistake in choosing my wife.,4377,3 months,Pomona College Baja Sae
project1157,1157,alanna.cummerata18@yahoo.com,Big men are not necessarily strong men.,8840,6 months,Pomona College Aeronautics Team
project1158,1158,adrien66@yahoo.com,These men are hard at work.,4271,2 months,Pomona College MedWish
project1159,1159,rodolfo_runolfsson68@gmail.com,He ordered a latte.,2212,5 months,Pomona College Rocket Team
project1160,1160,arielle_kovacek8@gmail.com,His boss might get angry with him.,6906,78 month,Pomona College Global Health Design Collaborative
project1161,1161,alf83@gmail.com,She prefers to take a vitamin capsule.,2011,78 year,Pomona College Graduate Civil Engineering Student Association
project1162,1162,bryon.keebler@yahoo.com,You're running a big risk in trusting him.,3211,1.5 years,Pomona College Medical Technology Group
project1163,1163,sophie85@gmail.com,I only eat fish.,7967,85 months,Pomona College oSTEM
project1164,1164,eulalia47@hotmail.com,I could hang out with her.,2824,81 years,Pomona College Society of Hispanic Professional Engineers
project1165,1165,sunny37@yahoo.com,He’s in a class of his own.,2668,80 weeks,Pomona College Society of Women Engineers
project1166,1166,eino_lang74@hotmail.com,Racecar backwards is racecar.,3578,3 months,Pomona College Steel Bridge Team
project1167,1167,arvel.powlowski@hotmail.com,They want Alaskan salmon for lunch.,4431,6 months,Pomona College Theta Tau
project1168,1168,jensen20@yahoo.com,He wanted very badly to survive.,4639,2 months,Pomona College Women in Science and Engineering Roundtable
project1169,1169,kendra_ohara85@yahoo.com,These dancers are like family.,2152,5 months,Pomona College American Marketing Association
project1170,1170,delmer84@yahoo.com,Blue eyes are brighter than brown.,7150,79 month,Pomona College Association for Computing Machinery
project1171,1171,malachi_littel74@yahoo.com,There is nothing more that I need to hear.,1764,3 months,Pomona College Neuroscience Society
project1172,1172,delilah_greenfelder@yahoo.com,Everybody is expecting a bonus.,3961,6 months,Pomona College Orchestra
project1173,1173,ellis13@hotmail.com,I made a list.,4792,2 months,Pomona College Developer Student Club
project1174,1174,jefferey_kreiger34@yahoo.com,Pandas are so adorable.,9878,5 months,Pomona College Design For America
project1175,1175,bette.abshire@yahoo.com,She was my wife.,7419,79 month,Pomona College Discussions Undergraduate Research Journal
project1176,1176,julius.ortiz@hotmail.com,The train does not leave at 8AM.,9714,79 year,University of California at Berkeley Engineers Without Borders
project1177,1177,hester42@hotmail.com,I think you have the wrong number.,4470,1.5 years,University of California at Berkeley Girls Who Code
project1178,1178,buford.koch@gmail.com,He has more brothers than I do.,211,86 months,University of California at Berkeley Hackers Society
project1179,1179,irving.johnson90@yahoo.com,You ask somebody to tell you time.,1613,82 years,University of California at Berkeley Biomedical Engineering Society
project1180,1180,hildegard38@hotmail.com,I'm not really a TV watcher.,5268,81 weeks,University of California at Berkeley American Institute of Chemical Engineers
project1181,1181,giuseppe34@hotmail.com,They're almost three times as big as we are.,8213,3 months,University of California at Berkeley Baja Sae
project1182,1182,arnaldo78@yahoo.com,Bumble sucks.,1171,6 months,University of California at Berkeley Aeronautics Team
project1183,1183,jeffry92@gmail.com,Thinking of the past is weird.,2907,2 months,University of California at Berkeley MedWish
project1184,1184,myron_tremblay@gmail.com,You're simply the best.,375,5 months,University of California at Berkeley Rocket Team
project1185,1185,eli_okon12@gmail.com,I go back to bedroom.,2903,80 month,University of California at Berkeley Global Health Design Collaborative
project1186,1186,abdul_jenkins90@hotmail.com,He adds something different to the team.,8133,3 months,University of California at Berkeley Graduate Civil Engineering Student Association
project1187,1187,meredith.spinka@hotmail.com,I need a dollar for the vending machine.,5858,6 months,University of California at Berkeley Medical Technology Group
project1188,1188,nichole.terry53@gmail.com,Utensils are useful.,6659,2 months,University of California at Berkeley oSTEM
project1189,1189,grant88@yahoo.com,You don’t listen to me.,365,5 months,University of California at Berkeley Society of Hispanic Professional Engineers
project1190,1190,amely45@yahoo.com,Tulips grow every year.,4172,80 month,University of California at Berkeley Society of Women Engineers
project1191,1191,evert_wunsch@yahoo.com,The girl in red is his girlfriend.,1948,80 year,University of California at Berkeley Steel Bridge Team
project1192,1192,jamarcus.nolan17@gmail.com,I ask why she’s brought tortillas.,1765,1.5 years,University of California at Berkeley Theta Tau
project1193,1193,thelma.mcglynn93@yahoo.com,That will do.,5769,87 months,University of California at Berkeley Women in Science and Engineering Roundtable
project1194,1194,koby98@gmail.com,I was riding my bike when I got winded.,646,83 years,University of California at Berkeley American Marketing Association
project1195,1195,felton_kovacek@hotmail.com,Don't blame her for her own death.,2015,82 weeks,University of California at Berkeley Association for Computing Machinery
project1196,1196,jamaal3@hotmail.com,I need therapy.,2714,3 months,University of California at Berkeley Neuroscience Society
project1197,1197,reid_brekke@gmail.com,I need to stop.,9080,6 months,University of California at Berkeley Orchestra
project1198,1198,gia_jenkins39@hotmail.com,"My friends are getting dinner tonight,.",6660,2 months,University of California at Berkeley Developer Student Club
project1199,1199,jairo_harris@hotmail.com,We took refuge behind a tree.,2669,5 months,University of California at Berkeley Design For America
project1200,1200,eloy_emmerich16@yahoo.com,Options are limited.,8628,81 month,University of California at Berkeley Discussions Undergraduate Research Journal
